,team_tag,win_rate
0,EG,0.7368421052631579
1,OG,0.7111111111111111
2,Liquid,0.7083333333333334
3,PSG.LGD,0.6666666666666666
4,ThunderP,0.6363636363636364
5,VP,0.56
6,TNC,0.5483870967741935
7,TSpirit,0.5454545454545454
8,Serenity,0.5384615384615384
9,Fnatic,0.5357142857142857
10,LFY,0.5
11,MIDAS,0.5
12,Secret,0.5
13,Espada,0.4666666666666667
14,coL,0.46153846153846156
15,paiN,0.45161290322580644
16,,0.45161290322580644
17,VG,0.45
18,BOOM,0.42857142857142855
19,Alliance,0.42857142857142855
20,Newbee,0.42105263157894735
21,KG,0.4
22,IG,0.36666666666666664
23,IMT,0.3333333333333333
24,Mineski,0.3157894736842105
25,AR,0.2857142857142857
26,TFT,0.16666666666666666
27,King,0.16666666666666666
28,SGD,0.14285714285714285
29,LvT,0.14285714285714285
30,Afk20,0.0
31,Vega,0.0
32,Empire,0.0
33,iG.V,0.0
34,CDEC,0.0
